Player,Team,Matches_played,Runs_scored,Bat_Average,Wickets_taken,Bowl_Average,Economy,Matches_Played_in_Championstrophy,ChampionsTrophy_Runs,ChampionsTrophy_Wickets,Role
Travis Head,Australia,69,2645,44.08,24,44.2,5.69,3,71,1,Batter
Marnus Labuschagne,Australia,59,1778,36.29,6,47.33,6.79,0,0,0,Batter
Matthew Short,Australia,11,195,21.67,1,162,6,0,0,0,Batter
Steven Smith,Australia,165,5662,43.55,28,34.68,5.41,3,86,0,Batter
Glenn Maxwell,Australia,145,3950,34.05,75,46.67,5.44,5,81,0,All-Rounder
Marcus Stoinis,Australia,71,1495,26.7,48,43.12,6,0,0,0,All-Rounder
Mitchell Marsh,Australia,93,2794,35.82,57,35.72,5.52,3,31,0,All-Rounder
Aaron Hardie,Australia,11,134,16.75,7,37.71,5.28,0,0,0,All-Rounder
Alex Carey,Australia,76,1978,34.7,0,0,0,0,0,0,WicketKeeper-Batter
Josh Inglis,Australia,26,521,23.68,0,0,0,0,0,0,WicketKeeper-Batter
Pat Cummins,Australia,90,537,14.51,143,28.78,5.27,3,4,2,Bowler
Mitchell Starc,Australia,127,577,12.02,244,23.41,5.26,4,5,6,Bowler
Adam Zampa,Australia,106,327,9.62,180,28.29,5.53,2,0,2,Bowler
Josh Hazelwood,Australia,91,131,16.38,138,27.27,4.77,3,1,9,Bowler
Nathan Ellis,Australia,8,63,21,10,38.2,5.96,0,0,0,Bowler
Jos Buttler,England,181,5022,39.54,0,0,0,9,109,0,WicketKeeper-Batter
Joe Root,England,171,6522,47.61,27,58.74,5.81,9,431,1,Batter
Ben Duckett,England,16,700,46.67,0,0,0,0,0,0,Batter
Harry Brook,England,20,719,39.94,0,0,0,0,0,0,Batter
Philip Salt,England,27,866,34.64,0,0,0,0,0,0,WicketKeeper-Batter
Liam Livingstone,England,33,844,35.17,21,36.62,6.1,0,0,0,All-Rounder
Jamie Smith,England,7,133,22.17,0,0,0,0,0,0,All-Rounder
Jacob Bethell,England,8,167,27.83,4,36,7.2,0,0,0,All-Rounder
Mark Wood,England,66,157,14.27,77,39.48,5.53,4,3,5,Bowler
