Date,Team_A,Team_B,Winner,Margin,Venue
17/04/2015,Bangladesh,Pakistan,Bangladesh,wonby79runs,ShereBanglaNationalStadium
19/04/2015,Bangladesh,Pakistan,Bangladesh,wonby7wickets,ShereBanglaNationalStadium
22/04/2015,Bangladesh,Pakistan,Bangladesh,wonby8wickets,ShereBanglaNationalStadium
08/05/2015,Ireland,England,Noresult,Noresult,TheVillage
26/05/2015,Pakistan,Zimbabwe,Pakistan,wonby41runs,GaddafiStadium
29/05/2015,Pakistan,Zimbabwe,Pakistan,wonby6wickets,GaddafiStadium
31/05/2015,Pakistan,Zimbabwe,Noresult,Noresult,GaddafiStadium
09/06/2015,England,New Zealand,England,wonby210runs,Edgbaston
12/06/2015,England,New Zealand,New Zealand,wonby13runs,KenningtonOval
14/06/2015,England,New Zealand,New Zealand,wonby3wickets,TheRoseBowl
17/06/2015,England,New Zealand,England,wonby7wickets,TrentBridge
18/06/2015,Bangladesh,India,Bangladesh,wonby79runs,ShereBanglaNationalStadium
20/06/2015,England,New Zealand,England,wonby3wickets,RiversideGround
21/06/2015,Bangladesh,India,Bangladesh,wonby6wickets,ShereBanglaNationalStadium
24/06/2015,Bangladesh,India,India,wonby77runs,ShereBanglaNationalStadium
10/07/2015,Bangladesh,South Africa,South Africa,wonby8wickets,ShereBanglaNationalStadium
10/07/2015,Zimbabwe,India,India,wonby4runs,HarareSportsClub
11/07/2015,SriLanka,Pakistan,Pakistan,wonby6wickets,RangiriDambullaInternationalStadium
12/07/2015,Bangladesh,South Africa,Bangladesh,wonby7wickets,ShereBanglaNationalStadium
12/07/2015,Zimbabwe,India,India,wonby62runs,HarareSportsClub
14/07/2015,Zimbabwe,India,India,wonby83runs,HarareSportsClub
15/07/2015,Bangladesh,South Africa,Bangladesh,wonby9wickets,ZahurAhmedChowdhuryStadium
15/07/2015,SriLanka,Pakistan,SriLanka,wonby2wickets,PallekeleInternationalCricketStadium
19/07/2015,SriLanka,Pakistan,Pakistan,wonby135runs,RPremadasaStadium
22/07/2015,SriLanka,Pakistan,Pakistan,wonby7wickets,RPremadasaStadium
26/07/2015,SriLanka,Pakistan,SriLanka,wonby165runs,MahindaRajapakshaInternationalCricketStadium
02/08/2015,Zimbabwe,New Zealand,Zimbabwe,wonby7wickets,HarareSportsClub
04/08/2015,Zimbabwe,New Zealand,New Zealand,wonby10wickets,HarareSportsClub
07/08/2015,Zimbabwe,New Zealand,New Zealand,wonby38runs,HarareSportsClub
19/08/2015,South Africa,New Zealand,South Africa,wonby20runs,SuperSportPark
23/08/2015,South Africa,New Zealand,New Zealand,wonby8wickets,SenwesPark
26/08/2015,South Africa,New Zealand,South Africa,wonby62runs,Kingsmead
27/08/2015,Ireland,Australia,Australia,wonby23runs,CivilServiceCricketClub
03/09/2015,England,Australia,Australia,wonby59runs,TheRoseBowl
05/09/2015,England,Australia,Australia,wonby64runs,Lord's
08/09/2015,England,Australia,England,wonby93runs,OldTrafford
11/09/2015,England,Australia,England,wonby3wickets,Headingley
12/09/2015,England,Australia,Australia,wonby8wickets,OldTrafford
01/10/2015,Zimbabwe,Pakistan,Pakistan,wonby131runs,HarareSportsClub
03/10/2015,Zimbabwe,Pakistan,Zimbabwe,wonby5runs,HarareSportsClub
05/10/2015,Zimbabwe,Pakistan,Pakistan,wonby7wickets,HarareSportsClub
14/10/2015,India,South Africa,India,wonby22runs,HolkarCricketStadium
16/10/2015,Zimbabwe,Afghanistan,Zimbabwe,wonby8wickets,QueensSportsClub
18/10/2015,India,South Africa,South Africa,South Africawonby18runs,SaurashtraCricketAssociationStadium
18/10/2015,Zimbabwe,Afghanistan,Afghanistan,wonby58runs,QueensSportsClub
20/10/2015,Zimbabwe,Afghanistan,Zimbabwe,Zimbabwewonby6wickets,QueensSportsClub
22/10/2015,India,South Africa,India,Indiawonby35runs,MAChidambaramStadium
